abandon	放弃；放纵
offhand	实现无准备地；随便地
officious	爱发命令的，好忠告的；过度殷勤的
offish	冷淡的
off-key	走调的，不和谐的
offset	补偿，抵消
offspring	儿女，后代
offstage	台后，幕后
ogle	送秋波；媚眼
ointment	油膏，软膏
olfaction	嗅觉
oligarchy	寡头政治
omelet	煎蛋卷
ominous	预兆的，不详的
omit	省略，遗漏；疏忽
omnipotent	全能的，万能的
omnipresent	无处不在的
omniscient	无所不知的，博识的
onerous	繁重的，麻烦的
onset	开始发作
opacity	不透明性，晦涩
opalescence	乳白光
opaque	不透明的；难懂的
operative	实施中的；生效的
operetta	小歌剧
opine	想，以为
opinionated	固执己见的
opponent	对手，敌手
opportune	合适的，适当的
oppose	反对
oppress	压迫，压制
opprobrious	辱骂的，恶名声的
optimism	乐观主义
optimist	乐观主义者
optimum	最好的，最有利的
optional	可自由选择的
opulent	富裕的；充足的
oracle	代神发布神谕的人
oration	正式演说，演讲
oratorio	清唱剧
oratory	演讲术
orchard	果园
orchestra	管弦乐队
ordain	任命；颁发命令
ordeal	严峻考验，痛苦经验
ordinance	法令，条例
ordnance	大炮；军械
ore	矿，矿石
organism	生物；有机体
orient	确定方向；使熟悉情况
original	最初的，原始的；有创意的
originality	创造性，独特性
ornate	华美的；充满装饰的
ornithologist	鸟类学家，鸟类学者
ornithology	鸟类学家，鸟类学者
orthodontics	畸齿矫正学
orthodox	正统的
oscillate	摆动；犹豫
osmosis	渗透；潜移默化
osseous	骨的，多骨的
ossify	硬化，骨化；使僵化
ostensible	表面上的
ostentation	夸示，夸耀
ostracism	放逐，排斥
ostracize	放逐，排斥
ostrich	鸵鸟；不接受现实的人
other-directed	受人支配的
otter	水獭
oust	驱逐；把…赶走
outgoing	友善的；即将离去的
outgrowth	自然结果；副产品
outlandish	古怪的
outlet	出口
outline	轮廓；梗概
outmaneuver	以策略制胜
outmoded	不再流行的
outrage	暴行
outset	开始，开头
outshine	比…更好
outskirts	郊区，郊外
outspoken	直言不讳的
outstrip	超过；跑过
outwit	以机智胜过
ovation	热烈的欢迎、鼓掌
overbearing	专横的，独断的
overdose	过大的剂量
overdue	过期未付的；逾期的
overexposure	过分暴露，曝光过度
overflow	溢出；充满
overhaul	彻底检查；大修
overlap	重叠
overlook	忽视；俯视
overpowering	压倒性的，不可抗拒的
overreach	做事过头
override	不理会；蹂躏，践踏
overriding	最主要的，优先的
overrule	否决
oversee	监督
overshadow	遮蔽，使失色
overstate	夸张，对…言过其实
overt	公开的，非秘密的
overthrow	推翻；终止；推翻；终止
overture	前奏曲，序曲
overturn	翻倒；推翻
overwhelm	泛滥；压倒
overwrought	紧张过度的，兴奋过度的
owl	猫头鹰
oxidize	氧化，生锈
pacifist	和平主义者，反战主义者
pacify	使安静，抚慰
pack	狼群；一群动物
packed	充满人的，拥挤的
pact	协定，条约
padding	衬垫，填料
paean	赞美歌，颂歌
pagan	没有宗教信仰的人；异教徒
pageant	壮观的游行；露天历史剧
painkiller	止痛药
painstaking	煞费苦心的
palate	上颚；口味；爱好
palatial	宫殿般的；宏伟的
palette	调色板，颜料配置
pall	令人发腻，失去吸引力
palliate	减轻；掩饰
palliative	缓释剂；减轻的，缓和的
pallid	苍白的，没血色的
palmy	繁荣的；棕榈的
palpable	可触知的，明显的
palpitate	极速而不规则地跳动
palter	含糊其词
paltry	无价值的，微不足道的
pamphlet	小册子
pan	严厉批评
panacea	万灵药
panache	炫耀；羽饰
pancreas	胰腺
pandemic	大范围流行的
pandemonium	喧嚣，大混乱
panegyric	颂词，颂扬
panel	专门小组；仪表板
pang	一阵剧痛
panic	恐慌的；恐慌，惊惶
panorama	概观，全景
panther	黑豹
pantomime	哑剧
pantry	食品室
papyrus	莎草；莎草纸
parable	寓言，比喻
parabola	抛物线
paradigm	范例，示范
prardox	似非而可能是的理论；与通常见解相反的观点
paragon	模型，典范
parallel	平行的；类似的；平行线；与…相似
parallelism	平行，类似
parameter	参量，变量
paramount	最重要的，最高权力的
paranoia	偏执狂；多疑症
paranoid	偏执狂的，过分怀疑的
paraphrase	解释，释义
parasite	食客；寄生虫
parch	烘烤；烤焦
pare	削；修剪；削减，缩减
pariah	贱民，被社会遗弃者
parity	同等，相等
parka	派克大衣
parlance	说法，用语，词汇
parody	模仿性嘲弄文章或表演；拙劣的模仿
paroxysm	突发
parquet	镶木地板
parry	挡开，避开
parse	对…做语法分析
parsimony	过分节俭，吝啬
partial	局部的；偏袒的
partiality	偏袒，偏心
particular	事实，细节
particularize	详述，列举
partisan	党派支持者；党徒
partition	隔开；隔墙
passionate	充满激情的
passive	被动的，缺乏活力的
pastel	彩色粉笔或蜡笔画；柔和的色彩
pasteurize	加热杀菌，消毒
pastiche	混合拼凑的作品
pastoral	田园生活的；宁静的
pastry	糕点，点心
patch	补丁；一小片
patent	显而易见的；专利权
pathogen	病原体
pathology	病理学
patina	绿锈；光亮的外表
patrician	贵族
patrimony	祖传的财产
patriot	爱国者，爱国主义者
patriotism	爱国主义，爱国心
patronage	赞助，惠顾
patronize	以高人一等的态度对待；光顾，惠顾
paucity	小量，缺乏
paunchy	大肚子的
pauper	贫民，乞丐
peak	憔悴，消瘦
pecan	山核桃
peccadillo	小过失
peck	啄食；轻啄
pedagogur	教师，教育者
pedagogy	教育学，教育法
pedal	踏板，脚蹬；骑脚踏车
pedant	迂腐之人，书呆子
pedestal	基座
pedestrian	徒步的；缺乏形象的；行人
pediatrics	小儿科
peel	削去…的皮；剥落；外皮
peer	同等之人，同辈
peerless	无可匹敌的
peeve	使气恼，怨恨
peevish	坏脾气的，易怒的
pejorative	带有轻蔑意义的，贬低的
pelf	钱财；不义之财
pell-mell	混乱地
pellucid	清晰的，清澈的
pen	围栏；监禁；母天鹅
penalize	置于不利地位；处罚
penalty	惩罚，处罚
penance	自我惩罚
penchant	爱好，嗜好
pending	即将发生的；未决的
pendulum	摆，钟摆
penetrate	刺穿；渗入；了解
peninsula	半岛
penitent	后悔的，忏悔的
pennant	信号旗
penultimate	倒数第二的
penury	贫穷；吝啬
perambulate	巡视；漫步
pereption	感觉；洞察力
perch	栖息
percussionist	敲击乐器的乐师
peregrination	游历
peremptory	不容反抗的；专横的
perennial	终年的；永久的
perfervid	非常热心的
perfidious	不忠的，背信弃义的
perfidy	不忠，背叛
perforate	打洞
perfunctory	草率的，敷衍的
peril	危险
perilous	危险的，冒险的
perimeter	周长
periodical	期刊
peripatetic	巡游的
peripheral	不重要的，外围的
periphery	不重要的部分；外围
periscope	潜望镜
perish	死，消亡
perishing	严寒的
perjure	作伪证，发假誓
perjury	作伪证，发假誓
perky	神气的；活泼的
permanent	长久的，永久的
permeable	可渗透的
permeate	扩散；渗透
permissive	过分纵容的
pernicious	有害的，致命的
perpendicular	垂直的
perpetual	连续不断的；永久的
perpetuate	使永存，使永记不忘
perquisite	固定津贴；利益
persecute	迫害
persiflage	挖苦，嘲弄
personable	英俊的，风度好的
personification	典型，化身，完美榜样
personnel	全体人员，员工
perspective	角度，方法；透视法
perspicacious	独具慧眼的
perspicuity	明晰；聪明睿智
perspicuous	明晰的；明了的
perspire	流汗
pertain	属于；关于
pertinacious	固执的；无法驾驭的；不妥协的
pertinent	有关的，相关的
peruse	细读，精读
pervade	弥漫，普及
perious	可渗透的
pessimism	悲观；悲观主义
pest	害虫；讨厌的人或物
pester	纠缠，强求
pesticide	杀虫剂
pestilent	致死的；有害的
pestle	杵，乳钵槌
petal	花瓣
petition	请愿；请愿书
petitioner	请愿人
petrify	石化；吓呆
petroglyph	岩石雕刻
petroleum	石油
petrology	岩石学
petty	琐碎的；小心眼儿的
petulance	发脾气，性急，暴躁
petulant	性急的，暴躁的
phantom	鬼怪，幽灵；幻像
pharmaceutical	制药的
phenomena	现象；科学研究的现象
phenomenal	显著的，非凡的
philanthropic	博爱的
philatelist	集邮家
philately	集邮
philistine	佣人，市侩
phlegmatic	冷静的，冷淡的
phoenix	凤凰，永生或再生的象征
phonetic	语音的
photosynthesis	光合作用
physiological	生理的；生理学上的
piano	轻柔的
pictorial	绘画的；有图片的，用图片表示的
piddling	琐碎的，微不足道的
pied	杂色的
pierce	刺透；穿过
piercing	刺骨的；敏锐的
pigment	天然色素；干粉颜料
pilgrim	朝圣客，香客
pillar	柱子
pillory	颈手枷；示众，嘲弄
pilot	飞行员；领航员；领导人
pinch	捏，掐；一撮，一点
pine	松树；憔悴
pinnacle	尖塔；山峰，顶峰
pinpoint	精确地找出或描述；非常精确的
pious	虔诚的，尽责的
piquant	辛辣的，开胃的；兴奋的
pique	不悦，愤怒；冒犯
pirate	海盗，剽窃者；盗印；掠夺
pirouette	脚尖着地的旋转
pistol	手枪
pitch	沥青，柏油；音调
pitcher	有柄水罐
pitfall	陷阱，未料到的危险或困难
pith	精髓，要点
pithiness	简洁
pithy	简练的
pitiful	值得同情的，可怜的
pittance	微薄的薪俸，少量的收入
placate	抚慰，平息
placebo	安慰剂
placid	安静的，平和的
plagiarism	剽窃，抄袭
plagiarize	剽窃，抄袭
plague	瘟疫；讨厌的人或物；烦扰
plain	简单的；清楚的；平原
plaintiff	原告
plaintive	可怜的，伤心的
plait	发辫；编成辫
plane	刨子；平面；刨
plangent	轰鸣的；悲哀的
plankton	浮游生物
plaster	灰泥，石膏；抹灰泥
plateau	高原；平稳的状态
platitude	陈词滥调
platonic	理论的；纯精神上的，没有感官欲望的
plaudit	喝彩，赞扬
plausible	表面上看起来有道理的
plead	恳求，提出…为理由
pleat	褶
pledge	誓言，保证；发誓
plenitude	完全；大量
plethora	过量，过剩
pliable	易弯的，柔软的
pliant	易受影响的；易弯的
plight	困境，苦境
plinth	柱脚，底座
plod	重步走；吃力地干
plot	情节；阴谋；策划
plough	犁；犁地
ploy	花招，策略
pluck	在困难面前足智多谋的勇气，胆量；精力；拔毛；弹拉
plumb	精确地；深入了解；测水深；垂直的
plumber	管子工，铅管工
plume	羽毛；整理羽毛；搔首弄姿
plummet	垂直或突然坠下
plunder	抢劫，掠夺
plunge	投入；俯冲
plush	豪华的
plutocracy	财阀统治
pod	豆荚；剥掉
podiatrist	足病医生
podium	讲坛，指挥台
poignant	伤心的；尖锐的
poise	使相等，使平衡；泰然自若，镇定
poisonous	有毒的；有害的
poke	刺，戳，贯穿
polar	地极的，两极的；磁极的
polarity	极端性，两极分化
polarize	使…两极分化
polemic	 争论，论战
polemical	挑起论战的
polish	把…擦光亮，抛光；上光剂；优雅
poll	民意测验；选举投票
pollen	花粉
pollinate	给…授粉
pollster	民意测验家
pomposity	自大的行为，傲慢，自命不凡
pompous	自大的行为，傲慢，自命不凡
poncho	斗篷；雨衣
ponder	仔细考虑
ponderable	可估量的
ponderous	笨重的，笨拙的
pontifical	自以为是的；武断的
pontificate	自大武断地做或说
populace	民众，老百姓
populous	人口稠密的
porcelain	瓷；瓷器
porcupine	豪猪，箭猪
pore	毛孔，气孔
porous	可渗透的；多孔的
portentous	凶兆的，有危险的
portfolio	文件夹；股份单
portray	描绘，描述
pose	摆姿势；造作
poseur	装模作样的人
posit	断定，认为
posse	武装团队
possessed	着迷的；疯狂的
poster	海报，招贴画
postpone	使延期，推迟
postulate	假定；要求
posture	姿势，体态；态度；故作姿态
potable	适于饮用的
potation	畅饮；饮料
potentate	统治者，当权者
potential	潜在的，有可能性的
potentiate	加强
potpourri	混杂；杂文集
pottery	制陶；陶器
pout	撅嘴，板脸
practitioner	开业者；从事某种手艺者
pragmatic	实际的，实用主义的
prank	恶作剧，玩笑
prate	瞎扯，胡说
preach	传教，讲道
preamble	前言，序言；先兆
precarious	根据不足的，靠不住的；不稳的，危险的
precede	在…之前，早于
precept	箴言，格言
precipice	悬崖
precipitant	沉淀剂
precipitate	加速，促成；鲁莽的
precipitation	降水
precis	摘要，大纲
precise	精确的
preclude	避免，排除
precocious	早熟的
precursor	先驱，先兆
predator	食肉动物
predecessor	前任，前辈；原先的东西
predestine	注定
predicament	困境，窘境
predilection	偏袒，爱好
predisposition	倾向，癖性
predominant	有势力的
predominate	支配，统治；占优势
preeminent	出类拔萃的
preempt	以先买权取得；取代
preen	整理羽毛；打扮修饰
preface	序言
pregnant	怀孕的；充满的
prehistoric	史前的
prejudice	偏见，成见；使产生偏见
preliminary	预备的；初步的，开始的
preliterate	文字出现以前的
prelude	序幕，前奏
premature	过早的，早熟的
premeditate	预先想过，预谋
premeditated	预谋的，事先计划的
premiere	首次公演
premise	前提
premium	保险费；奖金
premonition	预感，预兆
preoccupation	全神贯注；使人专注的东西
preponderate	压倒，超过
preposition	介词，前置词
preposterous	荒谬的
prerequisite	先决条件
prerogative	特权
presage	预感；预示
prescience	预知，先见
prescribe	开处方；规定
prescription	处方
presentation	表演，介绍，描述
presenter	主持人
preservation	防腐的；防腐剂
preside	担任主席；负责；指挥
press	挤压
pressing	紧迫的，迫切的；恳切要求的
prestige	威信，威望，声望
prestigious	有名望的，有威信的
presume	假定，认定
presumption	冒昧，专横
presupposition	预先假定，臆测
pretend	假装；装扮
pretension	自命不凡，夸耀
pretentious	自抬身价的
preternatural	异常的；超自然的
pretext	借口
prevail	战胜；盛行
prevaricate	支吾其词，说谎
preview	预演，预展
previous	在先的，以前的
prey	被捕食的动物
prim	端庄的，整洁的
primate	灵长类
prime	全盛时期；最初的；原始的；最好的
primp	刻意打扮
principal	主要的，重要的
principle	原则，原理；道德准则
priority	在先，居前；优先权
pristine	太古的；纯洁的；新鲜的
privation	丧失；贫困
privilege	特权，特别利益
probe	探索，探测
probity	刚直，正直
proboscis	长鼻；吸管
proceeds	收入
procession	行列；行进
proclaim	宣告，宣布；显示
procrastinate	耽搁，拖延
proctor	代理人；学监
procure	取得，获得
prod	刺，捅；激励
prodigal	挥霍的；挥霍者
prodigious	巨大的
prodigy	奇事；奇才
produce	产品；农产品
productivity	生产力；生产率
profane	亵渎，玷污
proffer	献出，赠送；提议，建议
proficient	熟练的，精通的
profile	外形轮廓侧面像
profiteer	奸商，牟取暴利者
profligate	挥金如土的人；挥霍者
profound	深的；深刻的；渊博的，深奥的
profuse	很多的浪费的
progeny	后代，子女
prognosis	预后，对疾病的发作及结果的预言
prohibitive	抑制的；价格贵得买不起的
projectile	抛射物，发射体
projection	凸出物
projector	电影放映机，幻灯机
proliferate	繁殖；激增
prolific	多产的，多结果的
prolix	啰嗦的，冗长的
prolixity	啰嗦的，冗长的
prologue	开场白；序幕
prolong	延长，拉长
promenade	散步；开车兜风
prominent	显著的；著名的
promote	提升；促进
prompt	促使，激起；敏捷的，迅速的
promulgate	颁布；宣传
prone	俯卧的；倾向于…的
pronounced	明确的，明显的
prop	支撑物，靠山；支持
propagate	繁殖；传播
propel	推进
propensity	嗜好，习性
prophecy	预言
prophet	先知，预言家
prophetic	先知的，预言的，预示的
propitiate	讨好；抚慰
propitious	吉利的；有利的
proposal	提案，建议
proposition	看法；提议
proprietary	私有的
propriety	礼节；适当
propulsion	推进力
prosaic	单调的，无趣的
proscibe	禁止
prose	散文
prosecute	告发，检举
prodecution	起诉；实行，经营
proselytize	使…皈依
prospect	勘探；期望；前景
prosperity	繁荣；幸运；健康
prosperous	繁荣富强的
prostrate	俯卧的；沮丧的；使下跪，鞠躬
protagonist	提议者，支持者
protean	变化多端的，多变的
protest	抗议，反对
protocol	外交礼节；协议，草案
prototype	原型；典型
protract	延长，拖长
probuberant	凸出的，隆起的
provenance	出处，起源
provender	草料，粮秣
provident	深谋远虑的；节俭的
providential	幸运的；恰到好处的
provincial	褊狭的，粗俗的
provision	供应；条款
provisional	暂时的，临时的
provisory	有附带条件的
provocation	挑衅，激怒
prowess	勇敢；不凡的能力
prowl	潜行于，偷偷地漫游
proximate	即将来临的，接近的
prude	过分守礼的人
prudent	审慎的，三思而后行的；精明的；节俭的
prudish	过分守礼的，假道学的
prune	梅干；修剪
pry	刺探；撬开
pseudonym	假名，笔名
psyche	心智，精神
psychology	心理学，心理状态
publicize	引人注意；宣传
pucker	起皱；皱褶
puckish	淘气的
puddle	水坑，洼
puerile	幼稚的；儿童的
pugilism	拳击，搏击
pugilist	拳击手，拳师
pugnacious	好斗的
puissance	权力
puissant	强有力的，强大的
pulchritude	美丽
pullet	小母鸡
pulley	滑轮；滑车
pulp	果肉酱；纸浆
pulse	搏动，跳动；脉搏；脉冲
pulverize	压成细粉；彻底击败
pun	双关语
punch	以拳猛击；打洞
punctilious	谨小慎微的，神经质的，为小事挂虑的
puncture	刺穿，刺破；刺孔，穿孔
pundit	权威人士，专家
pungent	味道刺激的；苛刻的
puny	弱小的，发育不良的
purchase	支点
purgative	泻药
purgatory	炼狱；受苦受难的地方
purge	清洗，洗涤
purify	使洁净，净化
purity	纯洁，纯净；纯度
purlieu	邻近地区
purloin	偷窃
purported	谣传的，声张的，号称的
pursue	追赶，追求，追踪
purvey	供给，供应
pusillanimous	胆小的
pylon	高压电线架；桥塔
pyre	火葬用的柴堆
quack	冒充内行之人；庸医
quaff	痛饮，畅饮
quail	畏惧，颤抖
quaint	离奇有趣的
qualified	有资格的；有限制的
qualms	疑虑
quandary	困惑，进退两难
quantum	量子；定量
quarantine	隔离检疫期，隔离
quarry	猎物
quartet	四重奏，四重唱
quash	镇压；取消
quaver	发颤音，颤抖；颤音
quay	码头
quell	制止，镇压
quench	熄灭；抑制
querulous	抱怨的，多牢骚的
quest	搜寻，探求；探求
queue	排队；长队
quibble	遁词；吹毛求疵的反对意见
quiescent	不动的，静止的
quill	刺
quirk	奇事；怪癖
quisling	卖国贼，内奸
quiver	箭筒，箭囊
quixotic	不切实际的空想的
quota	定额，配额
quote	引用，引述
quotidian	每日的；平凡的
rabble	乌合之众；下等人
rabid	患狂犬病的；失去理性的
rabies	狂犬病；恐水病
raconteur	善于将故事的人
racy	活泼的，生动的
radius	半径
raffish	粗俗的；俗艳的
raffle	抽奖售物
rafter	椽子
rag	旧布，碎步；破旧衣服
ragged	破烂的
raid	突然袭击
rail	栏杆；铁轨；咒骂，猛烈指责
raisin	葡萄干
rakish	潇洒的；放荡的
rally	召集，集会；召集；集会
ram	公羊；撞击，猛击
ramble	漫步；漫步
rambunctious	骚乱的；控制不了的
ramify	分支，分叉
rampage	狂暴地乱冲；暴怒
rampant	蔓生的，猖獗的
rampart	壁垒；城墙
ramshackle	摇摇欲坠的
rancid	不新鲜的，变味的
rancor	深仇，怨恨
random	没有明确目的、计划或者目标的；偶然的，随便的
ranger	森林管理员；巡逻骑警
rankle	怨恨；激怒
ransom	赎金；赎身；赎回
rant	咆哮；口出狂言
rapacious	强夺的；贪婪的
rapids	急流，湍流
rapport	和睦，意见一致
rapprochement	和好，和睦
rapt	专心致志的，全神贯注的
rarefaction	稀薄
raspy	刺耳的；恼人的
ratification	正式批准
ratiocination	推理；理论
ration	定量配给；配给
rational	理性的；合理的
rattle	使咯咯作响，使慌乱
raucous	沙哑的；粗糙的
ravage	摧毁，使荒废
rave	热切赞扬；狂语
ravel	纠缠，纠结；拆开，拆散
ravenous	饿极了的；贪婪的
ravishing	令人陶醉的
raze	彻底破坏
razor	剃刀，刮胡刀
reactant	反应物
reactionary	保守的，反动的
readily	不迟疑地；迅速地，轻易地
ready	机敏的，迅速的
reagent	试剂
realign	重新组合
realm	王国；领域，范围
ream	令人陶醉的
reap	收割，收获
rebate	折扣，回扣
rebellious	反抗的；难控制的
rebuff	断然拒绝的
rebuke	指责，谴责
rebus	字谜，画谜
rebuttal	反驳，反证
recalcitrant	顽抗的
recall	回想，回忆起；收回；唤回
recant	改变，放弃
recantation	改变宗教信仰
recapitulate	扼要重述
recast	重铸；更换演员
recede	后退；收回
receipt	收到，接到；发票，收据
receptacle	容器
receptive	善于接受的；从善如流的
recess	壁凹；休假
recession	经济萧条时期；撤回，退回
recessive	后退的；隐形的
recipe	食谱
recipient	接受者，收受者
reciprocal	相互的，互惠的
reciprocate	回报，答谢
recital	独奏；吟诵
reclaim	纠正；开垦
recluse	隐士；隐居的
recoil	退却，退缩
recollection	记忆力；记忆中的往事
recombine	重组，再结合
recompense	报酬，赔偿
reconcile	和解，调和
recondite	深奥的
reconnaissance	侦察，预先探索
reconstitute	再组成；用水泡
recourse	求助，依靠
recruit	新兵；新成员；征募
rectangle	长方形，矩形
rectify	改正，调正；提纯
rectitude	诚实，正直；公正
recumbent	侧卧的；休息的
recuperate	恢复，复原
redeem	赎罪
redemptive	赎回的，救赎的，救世的
redirect	改寄；改变方向
redistribution	重新分配
redolent	芬芳的，芳香的
redoubtable	可敬畏的
redress	改正，修正
redundancy	过剩；备份
redundant	累赘的；多余的
reed	芦苇；簧片
reek	发臭味；冒烟
reel	卷轴，旋转；卷…于轴上
rerectory	餐厅，食堂
referee	裁判员；仲裁者
refinery	提炼厂，精炼厂
reflect	反射；仔细考虑
refraction	折射
refractory	倔强的；反应迟钝的
refrain	抑制；歌曲的反复句，叠句
refresh	消除…的疲劳，使精神振作
refugee	难民，流亡者
refulgent	辉煌的，灿烂的
refurbish	刷新，擦亮
refute	驳斥
regale	款待；使…享受
regime	政权，政治制度
regress	使倒退，复原，逆行
regressive	退步的，退化的
regulate	管制；调整
rehabilitate	修复，恢复
rehearsal	排演，演习
rehearse	排练，预演；详述
reign	统治时期；王朝；领域
reimburse	偿还
rein	缰绳；控制
reinforce	加强力量，增援
reinstate	恢复，复原
reiterate	重申，反复地说
rejoice	喜欢，高兴
rejuvenate	使返老还童
relapse	旧病复发；再恶化；旧病复发，再恶化
relate	讲述；有关联
relaxation	放松，消遣
release	释放，放出；释放
relegate	降级；贬谪；交付，托付
relent	动怜悯心；减弱
relenting	减弱的；怜悯的
relentless	无情的，残酷的
reliance	信赖，信任
relic	遗物，遗迹
relieved	宽慰的，如释重负的
relinquish	放弃，废除
relish	味道；喜好；喜好，享受
remainder	剩余物
remains	遗址，废墟
reminder	提醒人记忆之物
reminisce	追忆，怀旧
remiss	疏忽的，不留心的
remnant	残余物；零头布料
remorse	懊悔，悔恨
remove	移走；脱掉；迁移
remunerative	报酬高的，有利润的
rend	撕裂，分裂；猛拉
reder	呈递，表现；提供
rendering	演出；翻译
rendezvous	约会；约会地点
renegade	叛教者，叛徒
renege	背信，违约
renounce	放弃，废除
renovate	修复，装修，翻新
renown	名望，声誉
rent	裂缝；分歧
reparable	能补救的，可挽回的
reparation	赔偿，补偿
repartee	机灵的回答
repatriate	遣返
repeal	废除
repel	击退；使…反感
repellent	令人厌恶的
repercussion	反响；影响
repertoire	常备剧目
repine	不满，心中抱怨
replenish	补充，再装满
replete	饱满的，塞满的
reportorial	记者的；纪实的
repose	躺着休息，安睡
reprehend	谴责，责难
reprehensible	应受谴责的
repressed	被压制的，被压抑的
reprieve	缓刑；暂时解救；缓刑，暂时解救
reprimand	训诫，谴责；训诫，谴责
reprisal	报复
reprise	乐曲的重复；重复
reproach	谴责，责骂
reprobate	谴责，指责；堕落的
reproof	责斥，责备
reprove	责骂，申斥
reptile	爬行动物；卑鄙的人
reptilian	爬虫类的；卑下的
repudiate	拒绝，抛弃
repugnance	嫌恶，反感
repugnant	令人厌恶的
repulse	驱逐，击退；厌恶；回绝，拒绝；击退
repulsion	厌恶，反感；排斥力
reputation	名声
repute	名声，名誉
request	要求，请求；要求，请求
requisite	必需物；必要的
requite	报答；报复
rescind	废除，取消
rescission	废除
rescue	解救；把…从法律监管下强行夺回
resent	憎恶，愤恨
resentment	愤恨，怨恨
reserve	储备，储藏量；缄默，谨慎；保留，储备，预订
reside	居住
resident	居民；定居的，常驻的
residual	残余的，剩余的
residue	剩余
resignation	听从，顺从；辞职
resigned	逆来顺受，顺从的
resilience	弹性，弹力
resilient	有弹性的；能恢复活力的，适应力强的
resonant	洪亮的；共鸣的
resort	度假胜地
resound	回荡着声音；鸣响
resourceful	机智的
respiration	呼吸
respite	休息；暂缓
resplendent	华丽的，辉煌的
respondent	被告
response	反应，响应；回答
responsive	敏感的；反应快的
responsiveness	应答，响应
restitution	归偿；赔偿
restive	不安静的，不安宁的
restiveness	倔强；难以驾驭
restless	不停的；不安静的
restore	使回复，恢复；恢复，修补
restored	恢复的；复修的
restrain	克制，抑制
restraint	克制，抑制
resume	重新开始，继续
resurgence	再起，复活，再现
resurrect	使复活；复兴
resuscitate	使复活，使苏醒
retail	零售；零售
retain	保留，保持；留住
retainer	侍从
retaliate	报复，反击
retaliation	报复
retard	妨碍；减速
reticent	沉默不语的
retinue	侍从；随员团
retiring	隐居的，不喜欢社交的
retort	反驳
retouch	修描；润色
retrace	回顾，追想
retract	缩回，收回
retreat	撤退；隐居处
retrench	节省，紧缩费用
retribution	报应，惩罚
retrieve	寻回，取回；挽回
revealing	暴露的，裸露的；揭露性的
revelation	显示；泄露的事实
revelry	狂欢
revenge	报复，报仇
revenue	总收入；国家的税收收入
reverberate	起回声，反响
revere	尊敬
reverie	幻想，梦幻曲
reverse	反面；相反；倒车；反转
revert	恢复，回复到；重新考虑
revile	辱骂，恶言相向
revise	改变，修正
revitalize	使重新充满活力
revive	使苏醒；再流行；使复活
revolt	叛乱，造反；反感
revue	时事讽刺剧
reward	酬报，奖赏；酬报，奖赏
rewarding	有益的，值得做的
rhetoric	修辞学，浮夸的言语
rhinestone	莱茵石
rhubarb	大黄；喧闹争吵
rhyme	押韵；押韵
rhythmic	有节奏的
rib	肋骨；伞骨
ribald	下流的；粗鄙的
rickety	不牢靠的，摇摇欲坠的
riddle	谜语
rider	骑手；附文，附件
rider	脊；隆起物
ridicule	奚落；嘲笑
rife	流行的，普遍的
rifle	步枪；抢劫
rift	裂口，断裂；矛盾
rig	欺骗，舞弊，伪造
rigid	硬性的，刚硬的
rigor	严酷；严格，苛刻；严密，精确
rile	使…恼火，激怒
rind	外皮
ringlet	卷发
riot	参加暴动
riotous	暴乱的；骚动的；喧闹的
ripen	使成熟
ripple	起涟漪；细浪，涟漪
rite	仪式
ritual	仪式，例行习惯
rival	竞争者，对手；与…匹敌
rivalry	竞争，对抗
rive	撕开，分裂
riven	撕裂的，分裂的
rivet	铆钉；吸引
riveting	非常精彩的
rivulet	小溪，小河
robe	长袍，礼服
robust	健壮的
roe	鱼卵
roil	煽动；搅浑
rookie	新兵，新手
roster	值班表，花名册
rostrum	讲台，讲坛
rotate	旋转，转动；轮流，交替
rotten	腐败的糟糕的
roughen	变得粗糙，变得不平
royalty	版税
rubicund	红润的，红色的
rudder	船舵；领导者
rudimentary	初步的，未充分发展的
rue	后悔，遗憾
ruffian	恶棍，歹徒；残暴的
ruffle	弄皱；激怒；皱边
ruminant	反刍的；沉思的
rumple	弄皱，弄乱
rung	梯子横档，梯级
runic	北欧古代文字的；神秘的
rupture	破裂，断裂
rural	乡村的
ruse	骗术，诡计
rustic	乡村的，乡土气的
ruthlessness	无情，残忍
sabotage	阴谋破坏，颠覆活动
saboteur	从事破坏活动者
saccharin	糖精
sacred	神圣的，庄严的
sacrifice	牺牲宰牲祭神
sacrilege	亵渎，冒犯神灵
sacrilegious	亵渎神圣的
sadden	使伤心，使悲哀
saddle	鞍，马鞍
safeguard	防范措施
sagacious	聪明的，睿智的
sage	智慧的；智者
saintly	圣徒似的，极为圣洁的
salient	显著的，突出的
saliva	唾液，口水
salmon	大麻哈鱼；鲜肉色
salubrious	有益健康的
salutary	有益的，有益健康的
salutation	招呼，致意，敬礼
salute	行举手礼；向…致敬；行军礼
salvage	抢救，海上救助
salve	药膏；减轻，缓和
sampler	刺绣花样；取样员
sanctify	使神圣
sanctimonious	假装神圣的
sanction	批准，认可
sandal	凉鞋，拖鞋
sane	神志清楚的，明智的
sanguine	乐观的
sanity	神志清楚的，明智的
sap	树液；活力消弱，耗尽
sapient	有智慧的
sapphire	青石，蓝宝石；天蓝色的
sarcastic	讽刺的
sartorial	裁缝的，缝制的
sash	肩带
sate	使心满意足，使厌腻
satisted	充分满足的；厌倦的，生腻的
satire	讽刺
satirize	讽刺
saturate	浸透；使充满
